,Dataset,Parameters,Sharpe Ratio,Average Turnover,Elapsed Time
0,1,"[0, 0.05, 0.8, 10, 0, 5, 3]",0.1840467343890484,0.5427007414947547,11.77355146408081
1,1,"[0, 0.05, 0.8, 11, 0, 5, 3]",0.1840467343890484,0.5427007414947547,11.583626747131348
2,1,"[0, 0.05, 0.8, 12, 0, 5, 3]",0.1840467343890484,0.5427007414947547,12.076171636581421
3,1,"[0, 0.05, 0.8, 13, 0, 5, 3]",0.1840467343890484,0.5427007414947547,12.240695238113403
4,1,"[0, 0.05, 0.8, 14, 0, 5, 3]",0.1840467343890484,0.5427007414947547,11.876439809799194
5,1,"[0, 0.05, 0.8, 15, 0, 5, 3]",0.1840467343890484,0.5427007414947547,11.830354928970337
6,1,"[1, 0.05, 0.8, 10, 0, 5, 3]",0.14832040584742678,0.21219717694612908,9.582116842269897
7,1,"[1, 0.05, 0.8, 11, 0, 5, 3]",0.14832040584742678,0.21219717694612908,9.219637632369995
8,1,"[1, 0.05, 0.8, 12, 0, 5, 3]",0.14832040584742678,0.21219717694612908,10.15349531173706
9,1,"[1, 0.05, 0.8, 13, 0, 5, 3]",0.14832040584742678,0.21219717694612908,10.269505500793457
10,1,"[1, 0.05, 0.8, 14, 0, 5, 3]",0.14832040584742678,0.21219717694612908,9.666064977645874
11,1,"[1, 0.05, 0.8, 15, 0, 5, 3]",0.14832040584742678,0.21219717694612908,10.688554763793945
12,1,"[2, 0.05, 0.8, 10, 0, 5, 3]",0.14831882659054646,0.2121970292164213,10.327656984329224
13,1,"[2, 0.05, 0.8, 11, 0, 5, 3]",0.14831882659054646,0.2121970292164213,10.595838785171509
14,1,"[2, 0.05, 0.8, 12, 0, 5, 3]",0.14831882659054646,0.2121970292164213,9.996499061584473
15,1,"[2, 0.05, 0.8, 13, 0, 5, 3]",0.14831882659054646,0.2121970292164213,9.296974658966064
16,1,"[2, 0.05, 0.8, 14, 0, 5, 3]",0.14831882659054646,0.2121970292164213,9.826391458511353
17,1,"[2, 0.05, 0.8, 15, 0, 5, 3]",0.14831882659054646,0.2121970292164213,10.352946996688843
18,1,"[3, 0.05, 0.8, 10, 0, 5, 3]",0.14831763074209336,0.21219699763419236,11.003443241119385
19,1,"[3, 0.05, 0.8, 11, 0, 5, 3]",0.14831763074209336,0.21219699763419236,12.23948884010315
20,1,"[3, 0.05, 0.8, 12, 0, 5, 3]",0.14831763074209336,0.21219699763419236,12.354758501052856
21,1,"[3, 0.05, 0.8, 13, 0, 5, 3]",0.14831763074209336,0.21219699763419236,11.542743921279907
22,1,"[3, 0.05, 0.8, 14, 0, 5, 3]",0.14831763074209336,0.21219699763419236,10.469485759735107
23,1,"[3, 0.05, 0.8, 15, 0, 5, 3]",0.14831763074209336,0.21219699763419236,10.582630395889282
24,1,"[4, 0.05, 0.8, 10, 0, 5, 3]",0.09208022446101634,0.08388402208811463,9.871038913726807
