,Dataset,Parameters,Sharpe Ratio,Average Turnover,Elapsed Time
0,1,"[0, 0.03, 0.4, 15, 0, 2, 3]",0.19522803605808503,0.24865414185976745,19.14689588546753
1,1,"[0, 0.03, 0.4, 15, 0.1, 2, 3]",0.18242598085795533,0.23667881905670218,19.86443829536438
2,1,"[0, 0.03, 0.4, 15, 0.2, 2, 3]",0.17767818307039532,0.23806582224947706,17.660828351974487
3,1,"[0, 0.03, 0.4, 15, 0.3, 2, 3]",0.17767799025365572,0.23806584161651365,19.000277996063232
4,1,"[0, 0.03, 0.4, 15, 0.4, 2, 3]",0.17767799108392987,0.23806583765235625,21.19328784942627
5,1,"[0, 0.03, 0.4, 15, 0.5, 2, 3]",0.17767799182650687,0.23806583230198058,21.238487482070923
6,1,"[1, 0.03, 0.4, 15, 0, 2, 3]",0.2072283097287872,0.014224752008541038,18.495707750320435
7,1,"[1, 0.03, 0.4, 15, 0.1, 2, 3]",0.2124074775250453,0.02722260418741657,17.178542375564575
8,1,"[1, 0.03, 0.4, 15, 0.2, 2, 3]",0.2229749114982951,0.03800729940204777,14.09664797782898
9,1,"[1, 0.03, 0.4, 15, 0.3, 2, 3]",0.2229749114982951,0.03800729940204777,9.997014999389648
10,1,"[1, 0.03, 0.4, 15, 0.4, 2, 3]",0.2229749114982951,0.03800729940204777,12.476321697235107
11,1,"[1, 0.03, 0.4, 15, 0.5, 2, 3]",0.2229749114982951,0.03800729940204777,18.612532138824463
12,1,"[2, 0.03, 0.4, 15, 0, 2, 3]",0.2071957904096713,0.015623589626689556,15.896236181259155
13,1,"[2, 0.03, 0.4, 15, 0.1, 2, 3]",0.21206017953534395,0.027756960465016658,18.00370740890503
14,1,"[2, 0.03, 0.4, 15, 0.2, 2, 3]",0.22297491149827203,0.03800729940207938,16.570330381393433
15,1,"[2, 0.03, 0.4, 15, 0.3, 2, 3]",0.22297491149827203,0.03800729940207938,19.017148733139038
16,1,"[2, 0.03, 0.4, 15, 0.4, 2, 3]",0.22297491149827203,0.03800729940207938,19.570640802383423
17,1,"[2, 0.03, 0.4, 15, 0.5, 2, 3]",0.22297491149827203,0.03800729940207938,23.07562804222107
18,1,"[3, 0.03, 0.4, 15, 0, 2, 3]",0.1916783557055714,0.018070067756763543,18.82835865020752
19,1,"[3, 0.03, 0.4, 15, 0.1, 2, 3]",0.21206017953535747,0.027756960465024353,18.6048104763031
20,1,"[3, 0.03, 0.4, 15, 0.2, 2, 3]",0.22297491149828658,0.03800729940206244,16.197919845581055
21,1,"[3, 0.03, 0.4, 15, 0.3, 2, 3]",0.22297491149828658,0.03800729940206244,11.282819747924805
22,1,"[3, 0.03, 0.4, 15, 0.4, 2, 3]",0.22297491149828658,0.03800729940206244,15.096444606781006
23,1,"[3, 0.03, 0.4, 15, 0.5, 2, 3]",0.22297491149828658,0.03800729940206244,19.28672981262207
24,1,"[4, 0.03, 0.4, 15, 0, 2, 3]",0.20426478968115233,0.01819896189156345,16.98035740852356
25,1,"[4, 0.03, 0.4, 15, 0.1, 2, 3]",0.2237831257682315,0.02491919144225443,18.034124851226807
26,1,"[4, 0.03, 0.4, 15, 0.2, 2, 3]",0.22297491149833848,0.03800729940203008,17.626372575759888
27,1,"[4, 0.03, 0.4, 15, 0.3, 2, 3]",0.22297491149833848,0.03800729940203008,20.64490270614624
28,1,"[4, 0.03, 0.4, 15, 0.4, 2, 3]",0.22297491149833848,0.03800729940203008,21.121084928512573
29,1,"[4, 0.03, 0.4, 15, 0.5, 2, 3]",0.22297491149833848,0.03800729940203008,22.608397722244263
30,1,"[5, 0.03, 0.4, 15, 0, 2, 3]",0.2272826989483993,0.044515406675458516,17.61612558364868
31,1,"[5, 0.03, 0.4, 15, 0.1, 2, 3]",0.22378312576816803,0.024919191442280258,18.699865102767944
32,1,"[5, 0.03, 0.4, 15, 0.2, 2, 3]",0.22297491149833265,0.03800729940204803,12.126729488372803
33,1,"[5, 0.03, 0.4, 15, 0.3, 2, 3]",0.22297491149833265,0.03800729940204803,11.811489582061768
34,1,"[5, 0.03, 0.4, 15, 0.4, 2, 3]",0.22297491149833265,0.03800729940204803,15.941791772842407
35,1,"[5, 0.03, 0.4, 15, 0.5, 2, 3]",0.22297491149833265,0.03800729940204803,18.530077934265137
36,1,"[6, 0.03, 0.4, 15, 0, 2, 3]",0.2272826989484129,0.04451540667546873,16.24510908126831
37,1,"[6, 0.03, 0.4, 15, 0.1, 2, 3]",0.16909803339513546,0.050771466381201134,17.0261869430542
38,1,"[6, 0.03, 0.4, 15, 0.2, 2, 3]",0.11912709154005606,0.08749904018332728,15.743996858596802
39,1,"[6, 0.03, 0.4, 15, 0.3, 2, 3]",0.11912164307588087,0.0874199782769771,18.255495071411133
40,1,"[6, 0.03, 0.4, 15, 0.4, 2, 3]",0.1191161928599472,0.0873409163580785,23.0673189163208
41,1,"[6, 0.03, 0.4, 15, 0.5, 2, 3]",0.11911074089254574,0.08726185442663155,20.799330949783325
42,1,"[7, 0.03, 0.4, 15, 0, 2, 3]",0.2272826989484129,0.04451540667546873,16.23328161239624
43,1,"[7, 0.03, 0.4, 15, 0.1, 2, 3]",0.16909803339513546,0.050771466381201134,16.64890694618225
44,1,"[7, 0.03, 0.4, 15, 0.2, 2, 3]",0.11912709154005606,0.08749904018332728,11.264530181884766
45,1,"[7, 0.03, 0.4, 15, 0.3, 2, 3]",0.11912164307588087,0.0874199782769771,9.308876514434814
46,1,"[7, 0.03, 0.4, 15, 0.4, 2, 3]",0.1191161928599472,0.0873409163580785,7.127546310424805
47,1,"[7, 0.03, 0.4, 15, 0.5, 2, 3]",0.11911074089254574,0.08726185442663155,7.817845821380615
48,1,"[8, 0.03, 0.4, 15, 0, 2, 3]",0.2272826989483745,0.044515406675450384,7.600831508636475
49,1,"[8, 0.03, 0.4, 15, 0.1, 2, 3]",0.16909803339511564,0.05077146638131242,7.103363752365112
50,1,"[8, 0.03, 0.4, 15, 0.2, 2, 3]",0.11912709154005606,0.08749904018332728,7.047705411911011
51,1,"[8, 0.03, 0.4, 15, 0.3, 2, 3]",0.11912164307588087,0.0874199782769771,8.119567394256592
52,1,"[8, 0.03, 0.4, 15, 0.4, 2, 3]",0.1191161928599472,0.0873409163580785,7.523483037948608
53,1,"[8, 0.03, 0.4, 15, 0.5, 2, 3]",0.11911074089254574,0.08726185442663155,7.393160581588745
54,1,"[9, 0.03, 0.4, 15, 0, 2, 3]",0.2272826989483745,0.044515406675450384,8.659828901290894
55,1,"[9, 0.03, 0.4, 15, 0.1, 2, 3]",0.16909803339511564,0.05077146638131242,7.1889190673828125
56,1,"[9, 0.03, 0.4, 15, 0.2, 2, 3]",0.11912709154005606,0.08749904018332728,7.1879847049713135
57,1,"[9, 0.03, 0.4, 15, 0.3, 2, 3]",0.11912164307588087,0.0874199782769771,7.717430830001831
58,1,"[9, 0.03, 0.4, 15, 0.4, 2, 3]",0.1191161928599472,0.0873409163580785,7.1676342487335205
59,1,"[9, 0.03, 0.4, 15, 0.5, 2, 3]",0.11911074089254574,0.08726185442663155,7.105653285980225
60,1,"[10, 0.03, 0.4, 15, 0, 2, 3]",0.22728269894839537,0.044515406675470756,7.9631547927856445
61,1,"[10, 0.03, 0.4, 15, 0.1, 2, 3]",0.16909803339511564,0.05077146638131242,8.259600162506104
62,1,"[10, 0.03, 0.4, 15, 0.2, 2, 3]",0.11912709154005606,0.08749904018332728,8.314494609832764
63,1,"[10, 0.03, 0.4, 15, 0.3, 2, 3]",0.11912164307588087,0.0874199782769771,6.915476083755493
64,1,"[10, 0.03, 0.4, 15, 0.4, 2, 3]",0.1191161928599472,0.0873409163580785,7.306057929992676
65,1,"[10, 0.03, 0.4, 15, 0.5, 2, 3]",0.11911074089254574,0.08726185442663155,7.3154401779174805
66,1,"[15, 0.03, 0.4, 15, 0, 2, 3]",0.22728269894839537,0.044515406675470756,7.188931465148926
67,1,"[15, 0.03, 0.4, 15, 0.1, 2, 3]",0.16909803339511564,0.05077146638131242,7.385216951370239
68,1,"[15, 0.03, 0.4, 15, 0.2, 2, 3]",0.11912709154005606,0.08749904018332728,7.121347904205322
69,1,"[15, 0.03, 0.4, 15, 0.3, 2, 3]",0.11912164307588087,0.0874199782769771,7.150678396224976
70,1,"[15, 0.03, 0.4, 15, 0.4, 2, 3]",0.1191161928599472,0.0873409163580785,7.024459600448608
71,1,"[15, 0.03, 0.4, 15, 0.5, 2, 3]",0.11911074089254574,0.08726185442663155,7.037871837615967
72,1,"[20, 0.03, 0.4, 15, 0, 2, 3]",0.2272826989484305,0.0445154066754667,6.9830710887908936
73,1,"[20, 0.03, 0.4, 15, 0.1, 2, 3]",0.16909803339516633,0.05077146638132851,6.913808345794678
74,1,"[20, 0.03, 0.4, 15, 0.2, 2, 3]",0.11912709154005606,0.08749904018332728,7.285059690475464
75,1,"[20, 0.03, 0.4, 15, 0.3, 2, 3]",0.11912164307588087,0.0874199782769771,6.872391939163208
76,1,"[20, 0.03, 0.4, 15, 0.4, 2, 3]",0.1191161928599472,0.0873409163580785,6.986667633056641
77,1,"[20, 0.03, 0.4, 15, 0.5, 2, 3]",0.11911074089254574,0.08726185442663155,6.86065673828125
78,2,"[0, 0.03, 0.4, 15, 0, 2, 3]",0.1788219666465764,0.3724293788108577,278.0970492362976
79,2,"[0, 0.03, 0.4, 15, 0.1, 2, 3]",0.19800476685146248,0.24405592185379169,435.86074924468994
80,2,"[0, 0.03, 0.4, 15, 0.2, 2, 3]",0.1984312504407024,0.23396501921746543,324.4137830734253
81,2,"[0, 0.03, 0.4, 15, 0.3, 2, 3]",0.19843130912696366,0.2339649711780843,338.7987961769104
82,2,"[0, 0.03, 0.4, 15, 0.4, 2, 3]",0.1984313697517496,0.23396492586174666,432.06303572654724
83,2,"[0, 0.03, 0.4, 15, 0.5, 2, 3]",0.19843143231472152,0.2339648832685548,403.93254685401917
84,2,"[1, 0.03, 0.4, 15, 0, 2, 3]",0.1730542398293576,0.00981088749704603,13.089330673217773
85,2,"[1, 0.03, 0.4, 15, 0.1, 2, 3]",0.19102446742408905,0.010117977631086789,12.331910610198975
86,2,"[1, 0.03, 0.4, 15, 0.2, 2, 3]",0.19433639177567372,0.013304290849822577,12.873650550842285
87,2,"[1, 0.03, 0.4, 15, 0.3, 2, 3]",0.19479748820359613,0.02121064355719209,13.659120321273804
88,2,"[1, 0.03, 0.4, 15, 0.4, 2, 3]",0.19479748820359613,0.02121064355719209,13.295154094696045
89,2,"[1, 0.03, 0.4, 15, 0.5, 2, 3]",0.19479748820359613,0.02121064355719209,13.802017211914062
90,2,"[2, 0.03, 0.4, 15, 0, 2, 3]",0.18333895834093067,0.014703444633845845,12.740138053894043
91,2,"[2, 0.03, 0.4, 15, 0.1, 2, 3]",0.20177696339190188,0.00989204644707066,15.225974559783936
92,2,"[2, 0.03, 0.4, 15, 0.2, 2, 3]",0.19862130112438797,0.011736468850205833,12.977673292160034
93,2,"[2, 0.03, 0.4, 15, 0.3, 2, 3]",0.19862130112438797,0.011736468850205833,13.499576091766357
94,2,"[2, 0.03, 0.4, 15, 0.4, 2, 3]",0.19862130112438797,0.011736468850205833,12.354741096496582
95,2,"[2, 0.03, 0.4, 15, 0.5, 2, 3]",0.19862130112438797,0.011736468850205833,12.373587608337402
96,2,"[3, 0.03, 0.4, 15, 0, 2, 3]",0.16443270099982432,0.05147962847892441,13.096425294876099
97,2,"[3, 0.03, 0.4, 15, 0.1, 2, 3]",0.22164299910622642,0.07209723701254037,13.04316258430481
98,2,"[3, 0.03, 0.4, 15, 0.2, 2, 3]",0.22163786930192445,0.07208404312781429,12.65681791305542
99,2,"[3, 0.03, 0.4, 15, 0.3, 2, 3]",0.22071640537433995,0.0731534239187081,13.181763172149658
100,2,"[3, 0.03, 0.4, 15, 0.4, 2, 3]",0.2207149724560324,0.07315817316546447,12.665801525115967
101,2,"[3, 0.03, 0.4, 15, 0.5, 2, 3]",0.22162083404315774,0.07205503554771285,12.170268058776855
102,2,"[4, 0.03, 0.4, 15, 0, 2, 3]",0.16443270099982432,0.05147962847892441,13.42910122871399
103,2,"[4, 0.03, 0.4, 15, 0.1, 2, 3]",0.22164299910622215,0.07209723701255442,12.787368059158325
104,2,"[4, 0.03, 0.4, 15, 0.2, 2, 3]",0.22163786930192764,0.07208404312780453,12.387999534606934
105,2,"[4, 0.03, 0.4, 15, 0.3, 2, 3]",0.22071640537433956,0.07315342391870842,14.136065244674683
106,2,"[4, 0.03, 0.4, 15, 0.4, 2, 3]",0.22071497245603405,0.0731581731654645,12.411031246185303
107,2,"[4, 0.03, 0.4, 15, 0.5, 2, 3]",0.22162083404315597,0.07205503554771268,10.242207527160645
108,2,"[5, 0.03, 0.4, 15, 0, 2, 3]",0.16443270099982432,0.05147962847892441,10.356665134429932
109,2,"[5, 0.03, 0.4, 15, 0.1, 2, 3]",0.22164299910622287,0.07209723701255497,10.822440147399902
110,2,"[5, 0.03, 0.4, 15, 0.2, 2, 3]",0.22163786930192822,0.07208404312781407,10.770036220550537
111,2,"[5, 0.03, 0.4, 15, 0.3, 2, 3]",0.22071640537433956,0.07315342391870842,10.494164228439331
112,2,"[5, 0.03, 0.4, 15, 0.4, 2, 3]",0.2207149724560306,0.07315817316546505,11.450171709060669
113,2,"[5, 0.03, 0.4, 15, 0.5, 2, 3]",0.22162083404315253,0.07205503554771325,10.828058242797852
114,2,"[6, 0.03, 0.4, 15, 0, 2, 3]",0.16443270099982432,0.05147962847892441,11.211146593093872
115,2,"[6, 0.03, 0.4, 15, 0.1, 2, 3]",0.2202698409989066,0.07738453220708938,10.85975170135498
116,2,"[6, 0.03, 0.4, 15, 0.2, 2, 3]",0.22025454716455062,0.07735384290052734,10.464911699295044
117,2,"[6, 0.03, 0.4, 15, 0.3, 2, 3]",0.22024165411289046,0.0773203736423876,11.468017101287842
118,2,"[6, 0.03, 0.4, 15, 0.4, 2, 3]",0.22022857234920873,0.07728697688445405,10.66433334350586
119,2,"[6, 0.03, 0.4, 15, 0.5, 2, 3]",0.22534915697778085,0.07578299897997223,10.637856006622314
120,2,"[7, 0.03, 0.4, 15, 0, 2, 3]",0.16443270099982432,0.05147962847892441,10.752615690231323
121,2,"[7, 0.03, 0.4, 15, 0.1, 2, 3]",0.2202698409989066,0.07738453220708938,10.723112344741821
