,Dataset,Parameters,Sharpe Ratio,Average Turnover,Elapsed Time
0,1,"[0, 0.03, 0.4, 15, 0, 5, 1]",0.19069007987313022,0.2417131074841376,28.054672479629517
1,1,"[0, 0.03, 0.4, 15, 0, 5, 2]",0.19994434213551218,0.2332500866723509,26.316887378692627
2,1,"[0, 0.03, 0.4, 15, 0, 5, 3]",0.20114569882963956,0.22804146874624162,25.521844387054443
3,1,"[0, 0.03, 0.4, 15, 0, 5, 4]",0.20278379203671917,0.2361910400118963,28.11454463005066
4,1,"[0, 0.03, 0.4, 15, 0, 5, 5]",0.19426144429539619,0.24696961640341583,28.623712301254272
5,1,"[0, 0.03, 0.4, 15, 0, 5, 6]",0.1950011095666713,0.2612217689771161,24.270293474197388
6,1,"[0, 0.03, 0.4, 15, 0, 5, 7]",0.1954704708779625,0.2546975263117575,22.257497310638428
7,1,"[1, 0.03, 0.4, 15, 0, 5, 1]",0.18819494922983407,0.01830032300246818,22.929101705551147
8,1,"[1, 0.03, 0.4, 15, 0, 5, 2]",0.20346409628523285,0.012524737872365369,22.180083990097046
9,1,"[1, 0.03, 0.4, 15, 0, 5, 3]",0.21440455216731655,0.013079240767645455,22.322554111480713
10,1,"[1, 0.03, 0.4, 15, 0, 5, 4]",0.18488227178246783,0.01649619319790608,23.005078315734863
11,1,"[1, 0.03, 0.4, 15, 0, 5, 5]",0.1860623617021228,0.02343913956145382,21.884226083755493
12,1,"[1, 0.03, 0.4, 15, 0, 5, 6]",0.21050768651912938,0.011298329965935267,23.34742021560669
13,1,"[1, 0.03, 0.4, 15, 0, 5, 7]",0.21047627262209673,0.011293685976806635,19.869324207305908
14,1,"[2, 0.03, 0.4, 15, 0, 5, 1]",0.1885995162448389,0.01825128833158419,22.808823347091675
15,1,"[2, 0.03, 0.4, 15, 0, 5, 2]",0.20516492966017838,0.016272939979769505,22.805900812149048
16,1,"[2, 0.03, 0.4, 15, 0, 5, 3]",0.20907451171906102,0.011180162147796123,23.298354148864746
17,1,"[2, 0.03, 0.4, 15, 0, 5, 4]",0.20751426711643514,0.012738556102223514,21.647587060928345
18,1,"[2, 0.03, 0.4, 15, 0, 5, 5]",0.20526794794353137,0.010743643402450579,22.620771646499634
19,1,"[2, 0.03, 0.4, 15, 0, 5, 6]",0.21306047036416073,0.012229067624065825,21.113787412643433
20,1,"[2, 0.03, 0.4, 15, 0, 5, 7]",0.21305753815331974,0.012245434255740992,19.980656147003174
21,1,"[3, 0.03, 0.4, 15, 0, 5, 1]",0.190464269597791,0.018970731486202774,23.291208744049072
22,1,"[3, 0.03, 0.4, 15, 0, 5, 2]",0.20762483279372163,0.017593639478943462,21.41617751121521
23,1,"[3, 0.03, 0.4, 15, 0, 5, 3]",0.20907451171906102,0.011180162147796123,22.1433744430542
24,1,"[3, 0.03, 0.4, 15, 0, 5, 4]",0.19644639372004413,0.017604917238355503,22.059860706329346
25,1,"[3, 0.03, 0.4, 15, 0, 5, 5]",0.20526794794353137,0.010743643402450579,21.385823011398315
26,1,"[3, 0.03, 0.4, 15, 0, 5, 6]",0.21306047036416048,0.012229067624065,20.75030255317688
27,1,"[3, 0.03, 0.4, 15, 0, 5, 7]",0.2130575381533132,0.012245434255739467,19.76768708229065
28,1,"[4, 0.03, 0.4, 15, 0, 5, 1]",0.1907200169989041,0.019164161429596743,22.6260724067688
29,1,"[4, 0.03, 0.4, 15, 0, 5, 2]",0.22204206137973745,0.013098849641716837,21.531459093093872
30,1,"[4, 0.03, 0.4, 15, 0, 5, 3]",0.2026924374612555,0.02253163271938723,21.2841477394104
31,1,"[4, 0.03, 0.4, 15, 0, 5, 4]",0.21515859736126153,0.014488801897045617,21.73684573173523
32,1,"[4, 0.03, 0.4, 15, 0, 5, 5]",0.2078558600656283,0.006822140255011398,21.477210998535156
33,1,"[4, 0.03, 0.4, 15, 0, 5, 6]",0.2130604703641203,0.012229067624044696,20.764815092086792
34,1,"[4, 0.03, 0.4, 15, 0, 5, 7]",0.2130575381530537,0.012245434255654655,20.783811569213867
35,1,"[5, 0.03, 0.4, 15, 0, 5, 1]",0.21663133117650524,0.05066546573066462,24.027686595916748
36,1,"[5, 0.03, 0.4, 15, 0, 5, 2]",0.2327447662075815,0.04427718829964357,21.660249710083008
37,1,"[5, 0.03, 0.4, 15, 0, 5, 3]",0.23623922841300363,0.04408797563379489,21.457654237747192
38,1,"[5, 0.03, 0.4, 15, 0, 5, 4]",0.2260426433469684,0.0433443091370719,21.556286573410034
39,1,"[5, 0.03, 0.4, 15, 0, 5, 5]",0.2342052472430591,0.04618276296178032,22.364949226379395
40,1,"[5, 0.03, 0.4, 15, 0, 5, 6]",0.2268049297452742,0.04675081781297912,22.647011518478394
41,1,"[5, 0.03, 0.4, 15, 0, 5, 7]",0.21964607730680827,0.05270520118050546,19.843459606170654
42,1,"[6, 0.03, 0.4, 15, 0, 5, 1]",0.21663133117690445,0.0506654657306527,22.4997615814209
43,1,"[6, 0.03, 0.4, 15, 0, 5, 2]",0.23274476620747805,0.04427718829966418,21.084790468215942
44,1,"[6, 0.03, 0.4, 15, 0, 5, 3]",0.23623922841300363,0.04408797563379489,21.651355981826782
45,1,"[6, 0.03, 0.4, 15, 0, 5, 4]",0.2260426433469684,0.0433443091370719,21.542357683181763
46,1,"[6, 0.03, 0.4, 15, 0, 5, 5]",0.2342052472430591,0.04618276296178032,22.095815181732178
47,1,"[6, 0.03, 0.4, 15, 0, 5, 6]",0.2268049297452742,0.04675081781297912,20.709899425506592
48,1,"[6, 0.03, 0.4, 15, 0, 5, 7]",0.21964607730680827,0.05270520118050546,20.078832387924194
49,1,"[7, 0.03, 0.4, 15, 0, 5, 1]",0.21663133117687663,0.050665465730515606,22.193186283111572
50,1,"[7, 0.03, 0.4, 15, 0, 5, 2]",0.2327447662075815,0.04427718829964357,21.498950958251953
51,1,"[7, 0.03, 0.4, 15, 0, 5, 3]",0.23623922841300363,0.04408797563379489,21.509386777877808
52,1,"[7, 0.03, 0.4, 15, 0, 5, 4]",0.2260426433469684,0.0433443091370719,21.726289749145508
53,1,"[7, 0.03, 0.4, 15, 0, 5, 5]",0.2342052472430591,0.04618276296178032,21.66692090034485
54,1,"[7, 0.03, 0.4, 15, 0, 5, 6]",0.2268049297452742,0.04675081781297912,22.023135662078857
55,1,"[7, 0.03, 0.4, 15, 0, 5, 7]",0.21964607730680827,0.05270520118050546,19.710855960845947
56,1,"[8, 0.03, 0.4, 15, 0, 5, 1]",0.21663133117684238,0.0506654657304363,51.377625942230225
57,1,"[8, 0.03, 0.4, 15, 0, 5, 2]",0.23274476620747805,0.04427718829966418,48.48229098320007
58,1,"[8, 0.03, 0.4, 15, 0, 5, 3]",0.2362392284130207,0.04408797563383013,55.550379514694214
