,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
F,0.013031727710108866,0.01871300010257522,0.03300918619146933,0.015277054294950767,0.014868484540824366,0.014552058904168483,0.014228477598453493,0.015292651045764612,0.015470140313703487,0.01501998909453988,0.014826915489400874,0.014974185935065725,0.0187319616972728,0.025641342758945168,0.031639915505231424,0.031625338312391324,0.03790684596254726,0.03714889468410908,0.045982151434552115,0.04400435820764295
CAT,0.026086956415716334,0.021585044537533685,0.027948063659097577,0.03119310575824888,0.027269757433050493,0.021828582243498634,0.020789151519151908,0.021591436365787215,0.020523743233432007,0.020174627202966065,0.01804226255624402,0.015859074704190585,0.016295777891266607,0.017478537519470903,0.02009648815664041,0.021875835608069213,0.02526858006763604,0.028799619759027836,0.04019799333132844,0.03678696485373435
DIS,0.035700581343516086,0.03298951578326993,0.038611931415817785,0.05768388661344064,0.05016171472402921,0.03647274432076687,0.035760542408531694,0.03375730393763768,0.034704228058583045,0.03338781224826092,0.030336946434638516,0.02921764870774415,0.027979495194674592,0.029686901698252745,0.030331504363887738,0.034515814305687946,0.030661099822593695,0.03458320986793649,0.03399338791322021,0.03619431071201158
MCD,0.023149907478084437,0.03049632956810706,0.028866918280061025,0.03355542877934658,0.04506122029705416,0.053366984778627634,0.06251051536021654,0.06346501400519491,0.06885870168867321,0.07196727201389883,0.07763989662917874,0.07615557679210976,0.07374095431519286,0.0877762787590843,0.07846685141676293,0.0815882613971957,0.07187322446502808,0.06696330158341086,0.0587083330132152,0.05952660223607189
KO,0.047911036631129944,0.04784636571739351,0.052292308206552444,0.06001964318722403,0.056531399628944816,0.05920675474036378,0.05719181416593029,0.056460884022853604,0.05480246925537497,0.055934303168519425,0.059316145037661916,0.05619074536651184,0.060833494145811164,0.061087680675790144,0.06664847686410325,0.06011929586319323,0.054210453772576224,0.05134158581904508,0.047282032389823266,0.047628912791889154
PEP,0.08438678320344442,0.09778091791611182,0.081931469737731,0.09316078111915017,0.057316365930242946,0.06539803132936253,0.06607470963608646,0.06199017342210393,0.062016691676088385,0.06372478072166708,0.06290585030132775,0.06267223110974117,0.0808225094076099,0.08090547837751147,0.07125406002818555,0.07530156078064422,0.07082626472204899,0.06689329940574637,0.06218824079062771,0.05732768960366651
WMT,0.0683251943537749,0.0821392740259145,0.12590417440094165,0.13397376404420594,0.1214668962640637,0.12470681773151245,0.11289677714669881,0.10343665934848854,0.09397102134374605,0.08956990458660732,0.08062853283340334,0.07630934345955642,0.07123758562939453,0.06698478147635353,0.06204962157819668,0.05649233123350584,0.05316974499327313,0.05961808549715645,0.0795744402780423,0.07964511378168317
C,0.05380859903908704,0.0708866810345079,0.03369501530490913,0.02283933905365696,0.02038002861789763,0.012201471658528801,0.012300671734327993,0.012897013683301638,0.013407361584391727,0.01329860438567569,0.012975208526986968,0.01155369965618134,0.012269953788479573,0.02435525662959938,0.023034080857948617,0.02383269467880966,0.025781565188813357,0.026381635952517343,0.03172573887750596,0.03900465482132307
WFC,0.071248646058974,0.08149894438635572,0.06702454177890918,0.052601364153776704,0.05459637978910572,0.022793817281652435,0.02472857480824423,0.02582468657364539,0.025928936825160818,0.026075965371362485,0.025737398577001996,0.02265948695956216,0.01953461222309245,0.038562787245057115,0.03859066111520893,0.04508652926547202,0.05059628899600933,0.05169145102270756,0.05109926765497727,0.06450215447628647
JPM,0.031820329922490696,0.05896300532689959,0.040834564260349066,0.031769667087171195,0.035557677831102724,0.030748725797774303,0.03107436103079499,0.03292466287610778,0.03299354737332795,0.03268533393008648,0.029516461009374672,0.025416809699092265,0.021972280620314324,0.02439872683989118,0.025316354100161073,0.025643297087656534,0.0265218502978665,0.028193294988163257,0.03440764873596938,0.05060317383800127
