,Dataset,Parameters,Sharpe Ratio,Average Turnover,Elapsed Time
0,1,"[0, 0.05, 0.1, 15, 0, 5, 3]",0.16056283761019893,0.5335348138857744,8.848474740982056
1,1,"[0, 0.05, 0.2, 15, 0, 5, 3]",0.16943500248289473,0.5686744270053609,8.710437774658203
2,1,"[0, 0.05, 0.3, 15, 0, 5, 3]",0.17754846778529693,0.5093988066555211,8.641472101211548
3,1,"[0, 0.05, 0.4, 15, 0, 5, 3]",0.16377190533017602,0.5629541572072981,8.872359275817871
4,1,"[0, 0.05, 0.5, 15, 0, 5, 3]",0.17780870073507793,0.5319473960577417,9.05285930633545
5,1,"[0, 0.05, 0.8, 15, 0, 5, 3]",0.1840467343890484,0.5427007414947547,9.018735885620117
6,1,"[1, 0.05, 0.1, 15, 0, 5, 3]",0.11366068094615815,0.13989916146379083,7.487466096878052
7,1,"[1, 0.05, 0.2, 15, 0, 5, 3]",0.10111413893980084,0.14325638294381596,7.4900062084198
8,1,"[1, 0.05, 0.3, 15, 0, 5, 3]",0.1135737310584918,0.15708794865345593,7.637537002563477
9,1,"[1, 0.05, 0.4, 15, 0, 5, 3]",0.11480508271164389,0.15210570027162684,7.533466339111328
10,1,"[1, 0.05, 0.5, 15, 0, 5, 3]",0.11478139465910783,0.15415632856813155,7.371741056442261
11,1,"[1, 0.05, 0.8, 15, 0, 5, 3]",0.14832040584742678,0.21219717694612908,7.1224164962768555
12,1,"[2, 0.05, 0.1, 15, 0, 5, 3]",0.11366045337196119,0.1398989445718351,7.447646379470825
13,1,"[2, 0.05, 0.2, 15, 0, 5, 3]",0.10111372653642729,0.1432561372498531,7.249674558639526
14,1,"[2, 0.05, 0.3, 15, 0, 5, 3]",0.11357296315390214,0.15708767691324288,7.2909767627716064
15,1,"[2, 0.05, 0.4, 15, 0, 5, 3]",0.1148041344499191,0.15210521499097426,7.7368483543396
16,1,"[2, 0.05, 0.5, 15, 0, 5, 3]",0.11478027144829663,0.15415575333214743,9.599383354187012
17,1,"[2, 0.05, 0.8, 15, 0, 5, 3]",0.14831882659054646,0.2121970292164213,10.31015419960022
18,1,"[3, 0.05, 0.1, 15, 0, 5, 3]",0.11366049299541164,0.13989885048479517,9.120018482208252
19,1,"[3, 0.05, 0.2, 15, 0, 5, 3]",0.10111372698675172,0.14325613651762528,8.76586365699768
20,1,"[3, 0.05, 0.3, 15, 0, 5, 3]",0.11357296315388192,0.15708767691323522,8.718252182006836
21,1,"[3, 0.05, 0.4, 15, 0, 5, 3]",0.11480413444990695,0.15210521499096735,8.713910341262817
