,Dataset,Parameters,Sharpe Ratio,Average Turnover,Elapsed Time
0,1,"[0, 0.01, 0.2, 15, 0, 5, 3]",0.19244014572944904,0.2614316696211742,10.345301151275635
1,1,"[0, 0.02, 0.2, 15, 0, 5, 3]",0.19300949251386987,0.26699336884455077,9.791600227355957
2,1,"[0, 0.03, 0.2, 15, 0, 5, 3]",0.19910492639032978,0.22962928921484985,10.696625709533691
3,1,"[0, 0.04, 0.2, 15, 0, 5, 3]",0.2061094765542882,0.23162061776037787,11.82983660697937
4,1,"[0, 0.05, 0.2, 15, 0, 5, 3]",0.20338942546389502,0.23500932669980534,12.53181505203247
5,1,"[1, 0.01, 0.2, 15, 0, 5, 3]",0.2058685548419263,0.014635319939857824,14.74489450454712
6,1,"[1, 0.02, 0.2, 15, 0, 5, 3]",0.20833305163098348,0.013388246987460509,15.181015729904175
7,1,"[1, 0.03, 0.2, 15, 0, 5, 3]",0.21440455216731663,0.013079240767645477,16.42783498764038
8,1,"[1, 0.04, 0.2, 15, 0, 5, 3]",0.21420209532084145,0.019042839576252704,21.284717321395874
9,1,"[1, 0.05, 0.2, 15, 0, 5, 3]",0.20146348032223815,0.023989450472630063,25.40243363380432
10,1,"[2, 0.01, 0.2, 15, 0, 5, 3]",0.16656127314378252,0.02369282810354192,24.982359409332275
11,1,"[2, 0.02, 0.2, 15, 0, 5, 3]",0.18073643253178792,0.028045396358378542,24.23983097076416
12,1,"[2, 0.03, 0.2, 15, 0, 5, 3]",0.17953172992495997,0.034228612574580264,23.249032020568848
13,1,"[2, 0.04, 0.2, 15, 0, 5, 3]",0.20686398622137653,0.027417787586797342,27.05193543434143
14,1,"[2, 0.05, 0.2, 15, 0, 5, 3]",0.20170315699631997,0.024030139042803995,26.31126117706299
15,1,"[3, 0.01, 0.2, 15, 0, 5, 3]",0.1665612731437688,0.023692828103544346,23.189427614212036
16,1,"[3, 0.02, 0.2, 15, 0, 5, 3]",0.1949752457757247,0.03676320826843132,22.01335620880127
17,1,"[3, 0.03, 0.2, 15, 0, 5, 3]",0.17953172992495997,0.034228612574580264,22.261383533477783
18,1,"[3, 0.04, 0.2, 15, 0, 5, 3]",0.20686398622132549,0.027417787586779718,22.527233123779297
19,1,"[3, 0.05, 0.2, 15, 0, 5, 3]",0.20170315699631997,0.024030139042803995,22.38564896583557
20,1,"[4, 0.01, 0.2, 15, 0, 5, 3]",0.16656127314380006,0.023692828103565804,23.56430196762085
21,1,"[4, 0.02, 0.2, 15, 0, 5, 3]",0.1949752457757258,0.03676320826843271,21.78261113166809
