Date,BEN,ITW,CNP,K,MRO,SONC,AAP,PLD,AMAT,TSN,HTLF,ISRG,C,IEX,IFF,TMO,BIO,NOC,IVZ,FITB,RJF,JNJ,A,FMC,CL,SYK,NEE,VZ,REGN,WAT,MCHP,BWA,PKI,ZBH,LNC
2001-12-31,6.852896690368652,21.45978736877441,8.520220756530762,16.010713577270508,5.622382164001465,9.904059410095217,15.03437042236328,12.234206199645996,14.920896530151367,8.635102272033691,5.79437780380249,2.228888988494873,300.9958801269531,11.240426063537598,19.180606842041016,22.810306549072266,31.649999618530277,29.225006103515625,15.070374488830566,34.15389633178711,7.841317176818848,33.78132247924805,17.449262619018555,5.557131767272949,18.132110595703125,23.90818977355957,3.654149055480957,15.994359016418455,28.15999984741211,38.75,7.557012557983398,5.248593330383301,28.23052024841309,27.06747055053711,30.164915084838867
2002-01-31,7.276464939117432,22.61960792541504,8.05758285522461,16.41497039794922,5.256927013397217,10.45435619354248,14.157994270324709,12.050691604614258,16.241817474365234,9.435066223144531,6.111258506774902,2.055556058883667,283.5862121582031,11.12226390838623,19.42593002319336,20.99389266967773,28.59000015258789,32.35595703125,14.457587242126465,35.22312545776367,7.399799346923828,32.872467041015625,18.575416564941406,6.4079670906066895,18.000825881958008,24.05974769592285,3.4733848571777344,15.740768432617188,24.799999237060547,34.599998474121094,7.352189540863037,5.580420017242432,23.831212997436523,28.83119773864746,32.19273376464844
2002-02-28,7.939021110534668,23.31041145324707,6.792553901672363,18.51491355895996,5.197176456451416,11.026521682739258,13.538491249084473,12.257732391357422,16.174850463867188,9.74208641052246,6.133392810821533,2.0444440841674805,270.7230834960937,11.71109390258789,22.240724563598636,19.45472526550293,32.724998474121094,31.14538955688477,12.411508560180664,35.507137298583984,7.020096778869629,34.91838836669922,19.06504440307617,6.719466209411621,17.632301330566406,25.190231323242188,3.479142427444458,15.893593788146973,22.709999084472656,31.25,6.667496681213379,6.058887004852295,18.580270767211918,31.69393348693848,32.0114631652832
2002-03-31,8.154960632324219,22.91780662536621,8.28822135925293,19.249073028564453,5.491996765136719,12.095332145690918,17.89015007019043,13.393508911132812,18.09856414794922,10.514549255371094,6.224594593048096,2.255556106567383,259.0566101074219,11.80514430999756,20.87744140625,18.06852149963379,48.29999923706055,35.1083984375,11.3798189163208,38.32763671875,7.400827407836914,36.61555862426758,18.39181137084961,6.88856315612793,16.751548767089844,21.91754722595215,4.159117221832275,13.738639831542969,20.649999618530277,26.950000762939453,8.680620193481445,6.308695793151856,10.397186279296877,30.763322830200195,30.13104820251465
2002-04-30,8.472208023071289,22.57768821716309,5.675875663757324,19.804582595825195,5.223715782165527,11.748692512512209,17.467065811157227,13.923711776733398,16.506013870239258,11.101561546325684,6.658123970031738,2.0955560207366943,259.4007263183594,12.442023277282717,22.083402633666992,17.552268981933594,44.2599983215332,35.411312103271484,10.568845748901367,36.41653823852539,7.414102077484131,35.29588317871094,16.139495849609375,6.318965435028076,17.127595901489258,22.34762954711914,4.126364707946777,14.728532791137695,16.520000457763672,26.65999984741211,8.748892784118652,6.502562999725342,11.34755039215088,31.00261878967285,28.193592071533203
2002-05-31,6.69335412979126,21.04400634765625,3.356809139251709,18.584999084472656,4.617902755737305,11.587753295898438,15.188491821289062,14.305014610290527,11.06602382659912,9.514552116394045,6.933635711669922,1.555556058883667,201.4892425537109,10.272246360778809,19.924352645874023,16.232980728149414,41.18999862670898,32.314178466796875,7.921400547027588,37.050758361816406,6.037606716156006,30.2618350982666,11.555315017700195,4.385897636413574,16.289091110229492,20.73381233215332,3.7472641468048096,11.416316986083984,17.200000762939453,22.709999084472656,6.443166732788086,5.434745788574219,6.23948860168457,32.996788024902344,23.2629508972168
2002-06-30,6.063599586486816,18.673688888549805,3.389471530914306,18.08145904541016,4.360192775726318,9.532660484313965,15.937947273254396,13.99035358428955,8.595327377319336,8.7744722366333,6.980012893676758,1.775555968284607,192.0395965576172,9.414851188659668,20.845571517944336,15.42037296295166,37.65999984741211,36.329345703125,5.124096870422363,34.48174285888672,6.029305458068848,31.227693557739254,7.993241310119629,4.595937252044678,17.113855361938477,23.592798233032227,3.594677209854126,9.492840766906738,13.5,24.25,5.983773708343506,5.025722503662109,4.462628364562988,33.98056411743164,19.36993980407715
2002-07-31,6.446625709533691,19.656513214111328,2.8438286781311035,17.32557487487793,4.017990589141846,9.602605819702148,16.182729721069336,13.16032600402832,11.185088157653809,8.351971626281738,7.04935359954834,1.48888897895813,240.4883575439453,9.959792137145996,21.958200454711918,17.58094596862793,42.61000061035156,30.20513916015625,6.616856575012207,35.760101318359375,6.971452236175537,33.92431640625,8.41555118560791,5.444990634918213,17.49620819091797,25.84558868408203,3.9407835006713863,13.220126152038574,15.130000114440918,25.18000030517578,7.1395673751831055,4.569387435913086,5.78340482711792,36.53310012817383,19.58648109436035
2002-08-31,6.674190044403076,20.83382797241211,3.4990251064300537,18.7746696472168,4.14312219619751,8.455592155456543,14.777505874633787,13.635479927062988,9.69672393798828,8.493547439575195,8.024803161621094,1.3688889741897583,229.03335571289065,10.841719627380373,23.076091766357425,19.23484230041504,38.70000076293945,28.525480270385746,6.669794082641602,33.1174430847168,6.604192733764648,31.11955070495605,10.99224090576172,4.8629350662231445,16.684730529785156,27.541748046875,4.05707597732544,13.566731452941896,18.51000022888184,21.780000686645508,7.159626483917236,5.12201452255249,6.855326175689697,36.79899597167969,20.27339172363281
2002-09-30,6.529266357421875,19.536134719848636,3.0447652339935303,18.298044204711918,4.067225456237793,9.384099960327148,13.190960884094238,13.780009269714355,8.90788745880127,7.804676055908203,8.490012168884277,1.4244439601898191,224.8310546875,9.71031379699707,20.886823654174805,17.37062644958496,35.400001525878906,26.88158798217773,6.11397647857666,30.17618751525879,5.693270683288574,31.061622619628903,10.086418151855469,3.556422233581543,16.25860595703125,24.718629837036133,3.939675807952881,13.521525382995604,18.729999542236328,23.049999237060547,6.468549728393555,5.458297252655029,6.531531810760498,36.338111877441406,20.90825080871582
