,Dataset,U,K,Sharpe Ratio,Average Turnover,Elapsed Time
138,2,5,6,0.19339183503439472,0.09819022474662244,9.637149095535278
139,2,5,7,0.19333665214312526,0.09820467578955594,9.381990432739258
140,2,6,1,0.19411699990591147,0.09913230108123465,10.40975284576416
141,2,6,2,0.1940011565888977,0.09872980362026869,10.74892282485962
142,2,6,3,0.19373523100899728,0.09818918406702536,10.650845289230347
143,2,6,4,0.19339889383006517,0.09863167037271661,10.56414270401001
144,2,6,5,0.19346695948947243,0.09794021872610054,9.881556987762451
145,2,6,6,0.19327532969150477,0.09798012914518896,9.844830751419067
146,2,6,7,0.19322782444998846,0.09807779338237968,9.664787769317627
147,2,7,1,0.19421331257329483,0.09952840992506684,11.232548713684082
148,2,7,2,0.19406218020806146,0.09865400143823937,11.45109510421753
149,2,7,3,0.19387341702086772,0.09813511195493783,11.91832423210144
150,2,7,4,0.1933286712544422,0.09881310663960875,11.31789255142212
151,2,7,5,0.1933166777983313,0.0977183650558253,10.581889390945435
152,2,7,6,0.19317120717104383,0.09781198363357785,10.223251342773438
153,2,7,7,0.19313940498861643,0.09806671613970416,9.49137568473816
154,2,8,1,0.19428760132540263,0.09938264870459944,11.591315984725952
155,2,8,2,0.19416553653078522,0.09860669495093634,10.917442798614502
156,2,8,3,0.19378712692970146,0.09824083311257514,10.846086978912354
157,2,8,4,0.19323439647558846,0.09879699270393576,10.271245241165161
158,2,8,5,0.1932564163223433,0.09751860903693702,10.064974546432495
159,2,8,6,0.1930847958288347,0.0978906018056466,10.097407579421997
160,2,8,7,0.1930954580201679,0.09818193434200785,9.695278406143188
161,2,9,1,0.19413592489143006,0.09879344505323638,10.619261026382446
162,2,9,2,0.19430493310654723,0.09865791280575759,10.404470920562744
163,2,9,3,0.19378087832553545,0.09790075668786771,10.505800724029541
164,2,9,4,0.19312414525890972,0.09872847912971701,11.231439352035522
165,2,9,5,0.19317426609537397,0.09752472066223,9.945596933364868
166,2,9,6,0.1930628399580024,0.0977743125644458,9.839884757995605
167,2,9,7,0.19307267136510897,0.0982594321037102,9.838832378387451
168,2,10,1,0.19446456442907284,0.09780324382393524,11.495312929153442
169,2,10,2,0.1943890820558264,0.09893054466965115,11.316283702850342
170,2,10,3,0.19385096608789876,0.09841370125180321,11.734118700027466
171,2,10,4,0.1930378965716656,0.09875935766810107,11.462275266647339
172,2,10,5,0.19306389422965373,0.09748066444732012,10.662127256393433
173,2,10,6,0.1930772186515888,0.09786806724404679,9.541700839996338
174,2,10,7,0.1930658966394863,0.09827274799620549,9.476934909820557
175,2,11,1,0.19449900817931584,0.09770680745299783,10.175403356552124
176,2,11,2,0.1944878258385454,0.09895958440139668,10.321048736572266
177,2,11,3,0.1936792866613667,0.09867794604600305,10.351801872253418
178,2,11,4,0.19292777265831135,0.09858266163143849,10.647321224212646
179,2,11,5,0.19311995383438413,0.09772106123421667,10.064739465713501
180,2,11,6,0.19311339616686915,0.09797625880087443,9.569442749023438
181,2,11,7,0.19305606966945338,0.09847381073497587,9.72697114944458
182,2,12,1,0.19469966108874412,0.09723287598149365,10.915349006652832
183,2,12,2,0.19479890659621477,0.09811102315896594,10.860431671142578
184,2,12,3,0.1936682585318426,0.09955100973124993,10.869241714477539
185,2,12,4,0.19279929747705282,0.0985734112558658,11.730534315109253
186,2,12,5,0.1930698354688403,0.09792628545328493,10.562090396881104
187,2,12,6,0.19321389254896817,0.09841678940924432,10.15310263633728
188,2,12,7,0.19306793557884214,0.09914247124679433,10.007493019104004
189,2,13,1,0.19547239051840065,0.09892114921869967,11.29151725769043
190,2,13,2,0.19494391457736224,0.09828402195269109,11.273933172225952
191,2,13,3,0.1936319425625713,0.10047605329500199,11.060693979263306
192,2,13,4,0.19294501411190412,0.09947858845877888,10.665756225585938
193,2,13,5,0.19316115460691693,0.09870755547660566,10.036640644073486
194,2,13,6,0.19335872759206582,0.0995055718467802,9.635743618011475
195,2,13,7,0.19306320488736572,0.10005514483992328,9.456896781921387
196,2,14,1,0.1954534300749687,0.09948819481543861,10.559082269668579
197,2,14,2,0.19517183518349954,0.0988627342080744,10.326793670654297
198,2,14,3,0.193616981123162,0.10161016882218805,10.58604121208191
199,2,14,4,0.19314409255135667,0.10036460191687673,10.444568634033203
200,2,14,5,0.1931917197639052,0.09953694845748454,10.179543733596802
201,2,14,6,0.19335506835773555,0.10010504816009176,9.576541185379028
202,2,14,7,0.19310810760940847,0.10103435507057801,9.454530239105225
203,2,15,1,0.19565554004412805,0.1006942121865656,10.519175052642822
204,2,15,2,0.19520369728512058,0.09908488560611063,10.453315258026123
205,2,15,3,0.19344161170310267,0.10294728039339969,10.641378164291382
206,2,15,4,0.1932475027757021,0.10150632108392786,10.414692163467407
207,2,15,5,0.1931475645353838,0.10066255450334757,10.09923791885376
208,2,15,6,0.19330352848967614,0.10098707099976263,9.726114749908447
209,2,15,7,0.19313102853604144,0.1019059808019731,9.399880647659302
210,3,1,1,0.21164615328198436,0.1305984795704723,10.746355056762695
211,3,1,2,0.21172779403946615,0.13058819449161876,9.735102653503418
212,3,1,3,0.21173849539359918,0.1305634531631509,9.832244396209717
213,3,1,4,0.21173868718940433,0.13056336086290155,9.842135190963745
214,3,1,5,0.2117247803919839,0.1305355834204907,9.716761827468872
215,3,1,6,0.2117209025490545,0.13053813944421175,9.615272760391235
216,3,1,7,0.21172759516738573,0.13052953883108556,10.482199430465698
217,3,2,1,0.21155739109907037,0.13072209753816047,12.793481349945068
218,3,2,2,0.21172462970646794,0.13071552744572262,12.145556926727295
219,3,2,3,0.21171758784576056,0.1307040310009401,10.731457471847534
220,3,2,4,0.21171783968923244,0.1306334836249031,10.64634084701538
221,3,2,5,0.21167296042073164,0.1305511400980542,10.501725435256958
222,3,2,6,0.2116519152624276,0.13052269153304155,10.916228771209717
223,3,2,7,0.21166997802039875,0.13058511892397673,10.53790831565857
224,3,3,1,0.21148620662738193,0.1307679741039678,12.90520715713501
225,3,3,2,0.21174441540760264,0.1308326879620229,11.72570252418518
226,3,3,3,0.21170155040096245,0.13078972205175524,11.84807801246643
227,3,3,4,0.2116847331283418,0.13083239521730938,11.80564570426941
228,3,3,5,0.211577245356006,0.13050006924096816,10.926788091659546
229,3,3,6,0.21158016821387313,0.1305577005939971,10.947941064834595
230,3,3,7,0.21158256518442267,0.13065218200832698,11.30464220046997
231,3,4,1,0.21143663366162468,0.13106797897631695,11.853935480117798
232,3,4,2,0.2117880862937209,0.13097314183270206,11.665451765060425
233,3,4,3,0.21165774875212104,0.13084299432423344,11.281702756881714
234,3,4,4,0.21163886381364205,0.13103734651560525,11.388978958129883
235,3,4,5,0.2114471924621695,0.13010060816790642,11.271740436553955
236,3,4,6,0.2114511402114579,0.13042426250382655,11.33748984336853
237,3,4,7,0.2114899959245575,0.13069174696189167,12.823049545288086
238,3,5,1,0.21140303330085697,0.13103560504330491,12.42526650428772
239,3,5,2,0.21177769284352577,0.13091145603854382,11.75890040397644
240,3,5,3,0.21162841326886772,0.13086330913931118,11.946712255477905
241,3,5,4,0.2115696168277201,0.13132943012935944,11.284230947494507
242,3,5,5,0.2113587092365702,0.13038142358716065,11.885836839675903
243,3,5,6,0.2113724966319218,0.13046476443058178,11.508440732955933
244,3,5,7,0.21133305042737963,0.13057369909324382,11.399000406265259
245,3,6,1,0.2113619446225207,0.13082650858400627,11.973523616790771
246,3,6,2,0.21187012205125397,0.131047033149716,11.757811784744263
247,3,6,3,0.21160437294116471,0.1309715896045865,12.211270809173584
248,3,6,4,0.21153186322173492,0.13164640049240928,11.67432975769043
249,3,6,5,0.2113907302895554,0.1306761007731547,11.353642702102661
250,3,6,6,0.2112623272355466,0.13071746829093087,10.343332052230835
251,3,6,7,0.2112303726415528,0.13069421963681535,10.898500919342041
252,3,7,1,0.21137736285549358,0.13089882745743653,12.466648817062378
253,3,7,2,0.21192795260566652,0.1312527599644626,10.530102491378784
254,3,7,3,0.21153612888337706,0.1312804662914245,11.23828387260437
255,3,7,4,0.21149434368480227,0.1320653541449197,10.782433032989502
256,3,7,5,0.21138410341152256,0.1310681554372238,10.20518970489502
257,3,7,6,0.21117860890142268,0.13103530154184592,10.173412322998047
258,3,7,7,0.21104736874606353,0.13102273815604457,9.858948469161987
259,3,8,1,0.21126730635722446,0.13104530475066234,10.921836137771606
260,3,8,2,0.21193775594528647,0.13152311920427937,10.237491607666016
261,3,8,3,0.2114481854097859,0.1313111810791201,10.562213897705078
262,3,8,4,0.21140211776185427,0.13252880803474898,10.34757113456726
263,3,8,5,0.21144718972049847,0.1315779073157047,10.09296989440918
264,3,8,6,0.21110763545455172,0.13174169928749335,10.051100254058838
265,3,8,7,0.21096592663570707,0.13166959058639865,9.565080165863037
266,3,9,1,0.21098656480660552,0.13073190616192998,10.627865076065063
267,3,9,2,0.21197486810890173,0.13171937621984328,10.19774055480957
268,3,9,3,0.2111833993348874,0.13164300959811615,10.827314853668213
269,3,9,4,0.21121777806075095,0.13246976630760715,10.918276071548462
270,3,9,5,0.21132516688051398,0.1321709383757146,10.569640398025513
271,3,9,6,0.2110467221207555,0.13321870858042725,10.818810224533081
272,3,9,7,0.21084372776881669,0.13248865404945065,9.315690279006958
273,3,10,1,0.21048744972022138,0.12985064957252201,10.533449649810791
274,3,10,2,0.21192221910096287,0.13205327483834312,10.720611572265625
275,3,10,3,0.21111121545080655,0.13176498794730654,11.148743629455566
276,3,10,4,0.21112852286778022,0.13193024886770655,11.284824132919312
277,3,10,5,0.21118863928699058,0.13255848135350792,12.210773229598999
278,3,10,6,0.210968665451098,0.13405456221320558,10.105445146560669
279,3,10,7,0.21076439197242783,0.13367387545870843,9.772922992706299
280,3,11,1,0.21048240790322095,0.13019002636210877,11.56790041923523
281,3,11,2,0.21199426378719546,0.1325337407782409,10.721583366394043
282,3,11,3,0.2111012718404291,0.13244885190330813,11.308263063430786
283,3,11,4,0.21065863173822263,0.13293333539004276,10.983799457550049
284,3,11,5,0.211088465711387,0.13358612445967455,11.740900039672852
285,3,11,6,0.21074701103967391,0.13475511202100235,10.563047647476196
286,3,11,7,0.2105440283471672,0.13476134050189034,10.820827007293701
287,3,12,1,0.21022448006806638,0.12996916847534382,10.76642107963562
288,3,12,2,0.2120677954982129,0.1333723892801755,10.245100498199463
289,3,12,3,0.21109525363386347,0.1323157386757232,10.544095516204834
290,3,12,4,0.21076006131878397,0.13359385240664332,10.385711669921875
291,3,12,5,0.21101340415266095,0.13462300511297204,10.301568508148193
292,3,12,6,0.2105404533510555,0.1349814774523656,10.037484169006348
293,3,12,7,0.2103566756647578,0.13567958604882568,9.607011079788208
294,3,13,1,0.21015227244331927,0.13012355764956812,10.642997026443481
295,3,13,2,0.21216141687816564,0.1335635351560744,10.834361791610718
296,3,13,3,0.21116401852633507,0.13318722982951187,10.57070016860962
