Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1991-12-31,812.712266,484.6220412,349.7033226,529.0504566,1174.222292,867.0763409,800.4956743,198.4587095,318.2542065,1300.776845,413.4839941,1037.334371,2816.695786,276.9348822,341.3971623
1992-01-31,899.2661223,533.5204052,376.3507157,515.1893346,1258.648875,864.6485271,793.7715107,203.757557,326.3378634,1317.166633,430.1473991,1048.122648,2730.504894,302.9390677,352.9705261
1992-02-29,1028.041031,577.9626549,370.8559953,508.9555436,1314.40702,889.8097993,819.172199,204.5522115,344.7433189,1349.700649,416.4256971,1077.470083,2771.462468,304.2417056,360.4887983
1992-03-31,1042.947626,600.3876059,363.1421906,503.9677793,1248.81811,877.797367,795.4981225,187.9834823,341.2958857,1343.222086,412.9693638,1085.982096,2808.877211,281.3323052,344.7354378
1992-04-30,1158.714812,607.2320247,366.3741561,538.4895722,1250.691337,837.6820273,800.5893105,187.8706923,357.9169953,1393.861559,423.871755,1154.724763,2862.245878,270.1915459,326.6368274
1992-05-31,1137.39446,597.0305266,368.2426643,529.3352495,1241.811428,835.8391268,797.3068943,178.4207964,358.0243704,1385.637775,414.5465764,1144.563185,2965.859179,295.6706087,320.2020819
1992-06-30,1187.894774,552.7905646,344.4541882,535.8990066,1206.295622,820.7104386,811.8976104,170.5524393,346.5675906,1364.16039,394.4825221,1091.226541,2803.03351,322.5175,306.0491498
1992-07-31,1179.104353,592.4809272,368.1181909,564.6767832,1239.106862,855.9189165,804.2657729,180.0180997,356.5833939,1349.018209,406.1592047,1137.167178,2930.571535,319.808353,325.6362954
1992-08-31,1050.935709,583.6529613,356.5592797,558.747677,1173.68202,856.3468759,782.1484642,174.4375386,352.7679516,1303.286492,387.7601928,1082.810587,2968.08285,305.3530154,322.2822416
1992-09-30,1034.436019,595.5594817,368.3613919,568.8610099,1202.202493,893.0841569,833.2227589,183.0721968,350.9335583,1312.539826,379.2294685,1083.351992,2905.456302,305.3224801,340.9101551
1992-10-31,1038.677207,596.1550412,377.4599182,565.8460466,1203.044035,933.2729439,827.6401664,185.7633581,353.3549998,1340.890687,392.7300376,1091.693802,2964.727611,290.7280656,343.3987993
1992-11-30,1123.848737,630.6724181,394.4456146,590.120842,1283.046463,998.9753592,894.0169077,198.1723504,378.3725338,1394.392225,397.7962551,1115.492727,2985.480704,271.1620668,379.6273726
1992-12-31,1159.811897,663.1520477,390.5800475,622.9905729,1286.510689,1000.773515,922.8042522,204.1175209,376.3293221,1395.507739,432.4045293,1126.201458,3072.059645,282.4695249,375.0718441
1993-01-31,1271.153839,680.2613705,398.9775186,630.2172635,1352.89464,998.7719678,928.8947602,205.3830495,387.2805054,1389.088403,416.7514853,1100.749305,3098.479357,271.6791891,370.1208958
1993-02-28,1271.153839,703.7984139,411.7049014,666.265691,1362.635482,981.093704,907.4372913,201.8709994,387.4354176,1395.061483,424.9198144,1111.536648,3025.665093,284.1764318,343.9903605
1993-03-31,1350.855185,724.4900873,416.1513143,687.9859525,1383.211277,1010.035968,965.3317904,203.5869029,392.2396168,1373.298524,439.8344999,1135.323532,3100.096454,321.3182914,361.3274747
1993-04-30,1401.917511,689.7145631,395.2189032,668.2407557,1345.44961,916.5066376,967.262454,197.072122,383.9241369,1364.646743,447.3996533,1172.902741,2815.507599,325.8810112,338.1663836
1993-05-31,1408.22614,690.1973633,400.8310116,696.5073397,1467.347344,970.2139266,993.9588977,203.201065,392.3320755,1369.013613,469.0090566,1192.724797,2905.040741,344.6517574,347.9393921
1993-06-30,1462.302023,659.9667188,408.3265516,728.8252802,1459.423668,936.5475033,1022.386122,201.2706549,387.6633238,1351.764041,474.7309671,1142.749628,2963.43206,351.4069318,305.6995499
1993-07-31,1502.222869,640.4977006,399.5475307,744.4950238,1416.95444,937.6713603,1045.492049,195.7357118,390.8421631,1325.404643,491.0617123,1154.748499,2963.728403,371.0505793,292.9824486
1993-08-31,1491.406864,696.8614982,414.3307893,785.2189016,1528.043668,972.2714335,1049.046722,208.2236503,404.013544,1353.23814,507.3649612,1192.3933,3027.448564,337.7673424,299.5745537
1993-09-30,1501.250149,673.9347549,406.9971344,781.4498508,1525.445994,968.9657106,1039.710206,205.0794731,400.1350139,1313.182291,503.8641429,1163.775861,2982.33958,305.6118914,286.6628904
1993-10-31,1639.515288,688.6939261,437.1963217,801.689402,1544.361524,1015.476065,1048.859656,197.6761042,429.0647755,1307.535607,507.643124,1194.150411,3045.863413,328.6244668,306.4712962
1993-11-30,1668.042854,689.6580975,443.4045095,753.2673621,1545.751449,1030.403563,1053.369752,196.5295828,429.6225597,1389.256583,517.7452222,1208.002556,3032.461614,322.4463268,311.3748369
1993-12-31,1742.771174,693.5891487,450.8537053,749.9529857,1610.36386,990.9391064,1127.316309,202.4844291,445.3037831,1435.935604,551.6575342,1244.121832,3161.037987,367.7177911,311.5305243
1994-01-31,1891.603832,646.6331633,461.9897918,765.0270407,1684.601634,991.434576,1162.601309,213.864054,442.7210211,1528.409857,564.1801603,1343.029518,3005.198814,374.2631678,313.3374014
1994-02-28,1800.050207,650.0603191,456.3997153,722.7210454,1713.913702,1019.591318,1147.371232,205.844152,429.4836626,1501.204161,574.8995833,1331.076555,3054.183555,369.1731887,321.5468413
1994-03-31,1676.206753,646.4199813,433.3971697,695.6912783,1651.698635,975.6469321,1098.263743,195.0167496,410.1568978,1413.834079,547.5343631,1289.147644,2957.365936,378.1440972,320.5500461
