,Dataset,Parameters,Sharpe Ratio,Average Turnover,Elapsed Time
0,1,"[0, 0.03, 0.4, 15, 0, 5, 3]",0.20114569882963956,0.22804146874624162,24.35542321205139
1,1,"[0, 0.03, 0.4, 15, 0.2, 5, 3]",0.1781971662182186,0.23220953798735514,27.716150045394897
2,1,"[0, 0.03, 0.4, 15, 0.4, 5, 3]",0.17819628419634861,0.23221414578299057,26.999468564987183
3,1,"[0, 0.03, 0.4, 15, 0.6, 5, 3]",0.1781951670102093,0.23222002644210937,26.04640531539917
4,1,"[0, 0.03, 0.4, 15, 0.8, 5, 3]",0.17819405409065928,0.23222594304823652,28.726635456085205
5,1,"[0, 0.03, 0.4, 15, 1, 5, 3]",0.17819863593589452,0.23220203590566027,28.505876541137695
6,1,"[1, 0.03, 0.4, 15, 0, 5, 3]",0.21440455216731655,0.013079240767645455,22.893309116363525
7,1,"[1, 0.03, 0.4, 15, 0.2, 5, 3]",0.17320624328551074,0.05416184667005129,22.641543865203857
8,1,"[1, 0.03, 0.4, 15, 0.4, 5, 3]",0.1732103510391728,0.054165732981461934,22.23328685760498
9,1,"[1, 0.03, 0.4, 15, 0.6, 5, 3]",0.1732155450073924,0.054170647200453656,22.0209481716156
10,1,"[1, 0.03, 0.4, 15, 0.8, 5, 3]",0.17322073864998078,0.0541755613895835,22.488995790481567
11,1,"[1, 0.03, 0.4, 15, 1, 5, 3]",0.17319996212608899,0.05415590445389855,23.404568672180176
12,1,"[2, 0.03, 0.4, 15, 0, 5, 3]",0.20907451171906102,0.011180162147796123,21.96226453781128
13,1,"[2, 0.03, 0.4, 15, 0.2, 5, 3]",0.17320624328554196,0.0541618466700613,23.125672340393066
14,1,"[2, 0.03, 0.4, 15, 0.4, 5, 3]",0.173210351039211,0.05416573298147205,22.80221176147461
15,1,"[2, 0.03, 0.4, 15, 0.6, 5, 3]",0.17321554500739664,0.054170647200456334,21.776693105697632
16,1,"[2, 0.03, 0.4, 15, 0.8, 5, 3]",0.17322073865001872,0.05417556138959353,23.27535104751587
17,1,"[2, 0.03, 0.4, 15, 1, 5, 3]",0.17319996212611338,0.05415590445390668,23.24722456932068
18,1,"[3, 0.03, 0.4, 15, 0, 5, 3]",0.20907451171906102,0.011180162147796123,21.863878965377808
19,1,"[3, 0.03, 0.4, 15, 0.2, 5, 3]",0.17320624328551226,0.054161846670051375,23.09739851951599
20,1,"[3, 0.03, 0.4, 15, 0.4, 5, 3]",0.17321035103918092,0.05416573298146219,21.703230142593384
21,1,"[3, 0.03, 0.4, 15, 0.6, 5, 3]",0.17321554500736658,0.05417064720044649,21.742141246795654
22,1,"[3, 0.03, 0.4, 15, 0.8, 5, 3]",0.173220738649989,0.0541755613895837,22.4497287273407
23,1,"[3, 0.03, 0.4, 15, 1, 5, 3]",0.17319996212608338,0.05415590445389683,22.06995725631714
24,1,"[4, 0.03, 0.4, 15, 0, 5, 3]",0.2026924374612555,0.02253163271938723,22.114243268966675
25,1,"[4, 0.03, 0.4, 15, 0.2, 5, 3]",0.17320624328542,0.054161846670038954,22.17715859413147
26,1,"[4, 0.03, 0.4, 15, 0.4, 5, 3]",0.17321035103908183,0.054165732981449694,21.467637062072754
27,1,"[4, 0.03, 0.4, 15, 0.6, 5, 3]",0.17321554500733521,0.05417064720044867,21.520227193832397
28,1,"[4, 0.03, 0.4, 15, 0.8, 5, 3]",0.1732207386498968,0.054175561389571206,21.40931987762451
29,1,"[4, 0.03, 0.4, 15, 1, 5, 3]",0.173199962126025,0.05415590445389177,22.835130214691162
30,1,"[5, 0.03, 0.4, 15, 0, 5, 3]",0.23623922841300363,0.04408797563379489,21.92049741744995
31,1,"[5, 0.03, 0.4, 15, 0.2, 5, 3]",0.17320624328544665,0.05416184667009081,21.59893822669983
32,1,"[5, 0.03, 0.4, 15, 0.4, 5, 3]",0.17321035103904814,0.054165732981486976,21.80614733695984
33,1,"[5, 0.03, 0.4, 15, 0.6, 5, 3]",0.17321554500739603,0.054170647200507835,21.719873905181885
34,1,"[5, 0.03, 0.4, 15, 0.8, 5, 3]",0.17322073864992352,0.05417556138962314,21.20608615875244
35,1,"[5, 0.03, 0.4, 15, 1, 5, 3]",0.17319996212607877,0.05415590445395087,23.024856090545654
36,1,"[6, 0.03, 0.4, 15, 0, 5, 3]",0.23623922841300363,0.04408797563379489,23.482876777648926
37,1,"[6, 0.03, 0.4, 15, 0.2, 5, 3]",0.14053312882560637,0.05453115293168011,21.611817359924316
38,1,"[6, 0.03, 0.4, 15, 0.4, 5, 3]",0.14052643740888013,0.05446769495762541,21.365097045898438
39,1,"[6, 0.03, 0.4, 15, 0.6, 5, 3]",0.1405188853272497,0.05440400975921306,21.465213775634766
40,1,"[6, 0.03, 0.4, 15, 0.8, 5, 3]",0.14051133181635592,0.054340324633155954,22.707255125045776
41,1,"[6, 0.03, 0.4, 15, 1, 5, 3]",0.14052431682365596,0.05428207242480157,23.38389277458191
42,1,"[7, 0.03, 0.4, 15, 0, 5, 3]",0.23623922841300363,0.04408797563379489,21.280859231948853
43,1,"[7, 0.03, 0.4, 15, 0.2, 5, 3]",0.14053312882560637,0.05453115293168011,21.701741218566895
44,1,"[7, 0.03, 0.4, 15, 0.4, 5, 3]",0.14052643740888013,0.05446769495762541,21.805591344833374
45,1,"[7, 0.03, 0.4, 15, 0.6, 5, 3]",0.1405188853272497,0.05440400975921306,21.359034538269043
46,1,"[7, 0.03, 0.4, 15, 0.8, 5, 3]",0.14051133181635592,0.054340324633155954,21.05516529083252
47,1,"[7, 0.03, 0.4, 15, 1, 5, 3]",0.14052431682365596,0.05428207242480157,22.38058638572693
48,1,"[8, 0.03, 0.4, 15, 0, 5, 3]",0.2362392284130207,0.04408797563383013,22.056891202926636
49,1,"[8, 0.03, 0.4, 15, 0.2, 5, 3]",0.14053312882560637,0.05453115293168011,21.410808801651
50,1,"[8, 0.03, 0.4, 15, 0.4, 5, 3]",0.14052643740888013,0.05446769495762541,21.65952157974243
51,1,"[8, 0.03, 0.4, 15, 0.6, 5, 3]",0.1405188853272497,0.05440400975921306,21.883980989456177
52,1,"[8, 0.03, 0.4, 15, 0.8, 5, 3]",0.14051133181635592,0.054340324633155954,21.222930192947388
53,1,"[8, 0.03, 0.4, 15, 1, 5, 3]",0.14052431682365596,0.05428207242480157,21.637566804885864
54,1,"[9, 0.03, 0.4, 15, 0, 5, 3]",0.2362392284130207,0.04408797563383013,22.38216519355774
55,1,"[9, 0.03, 0.4, 15, 0.2, 5, 3]",0.14053312882560637,0.05453115293168011,21.796145915985107
56,1,"[9, 0.03, 0.4, 15, 0.4, 5, 3]",0.14052643740888013,0.05446769495762541,32.799480676651
